keys;ru;en;tr
ui.error.security.encryption_challenge_request_invalid.message;Запрос защищённого соединения имеет неверный формат;The secure connection request has an invalid format;Güvenli bağlantı isteğinin biçimi geçersiz
ui.error.security.encryption_challenge_unavailable.message;Не удалось подготовить защищённое соединение;The secure connection could not be prepared;Güvenli bağlantı hazırlanamadı
ui.error.security.encryption_request_invalid.message;Запрос шифрования имеет неверный формат;The encryption request has an invalid format;Şifreleme isteğinin biçimi geçersiz
ui.error.security.encryption_challenge_invalid.message;Проверка защищённого соединения не пройдена;Secure connection verification failed;Güvenli bağlantı doğrulaması başarısız oldu
ui.error.security.permission_challenge_invalid.message;Проверка прав доступа не пройдена;Permission verification failed;İzin doğrulaması başarısız oldu
ui.error.security.permission_protocol_unsupported.message;Версия протокола прав доступа не поддерживается;The permission protocol version is not supported;İzin protokolü sürümü desteklenmiyor
ui.error.security.permission_response_invalid.message;Ответ проверки прав доступа имеет неверный формат;The permission verification response has an invalid format;İzin doğrulama yanıtının biçimi geçersiz
ui.error.security.encryption_failed.message;Не удалось установить защищённое соединение;Could not establish a secure connection;Güvenli bağlantı kurulamadı
;;;
# Profile errors;;;
ui.error.profiles.user_profile_not_found.message;Профиль игрока не найден;The player profile was not found;Oyuncu profili bulunamadı
ui.error.profiles.update_empty.message;Нет данных профиля для обновления;There is no profile data to update;Güncellenecek profil verisi yok
ui.error.profiles.update_invalid.message;Данные профиля имеют неверный формат;The profile data has an invalid format;Profil verilerinin biçimi geçersiz
ui.error.profiles.save_batch_invalid.message;Не удалось обработать пакет сохранения профилей. Количество записей: {0};The profile save batch could not be processed. Entry count: {0};Profil kaydetme paketi işlenemedi. Kayıt sayısı: {0}
ui.error.profiles.save_unavailable.message;Сохранение профиля временно недоступно;Profile saving is temporarily unavailable;Profil kaydetme geçici olarak kullanılamıyor
ui.error.profiles.not_found.message;Профиль не найден;The profile was not found;Profil bulunamadı
ui.error.profiles.fetch_session_ended.message;Сеанс получения профиля завершён;The profile retrieval session has ended;Profil alma oturumu sona erdi
ui.error.profiles.fetch_timeout.message;Время ожидания профиля истекло;The profile retrieval timed out;Profil alma işlemi zaman aşımına uğradı
ui.error.profiles.fetch_failed.message;Не удалось получить профиль игрока;The player profile could not be retrieved;Oyuncu profili alınamadı
;;;
# Achievement errors;;;
ui.error.achievements.user_achievements_not_found.message;Данные достижений игрока не найдены;The player's achievement data was not found;Oyuncunun başarı verileri bulunamadı
ui.error.achievements.update_forbidden.message;Изменение достижений запрещено;Updating achievements is not allowed;Başarıların güncellenmesine izin verilmiyor
ui.error.achievements.rooms_module_unavailable.message;Сервис игровых комнат временно недоступен;The game rooms service is temporarily unavailable;Oyun odaları hizmeti geçici olarak kullanılamıyor
ui.error.achievements.joined_room_not_found.message;Активная игровая комната не найдена;The active game room was not found;Etkin oyun odası bulunamadı
ui.error.achievements.not_found.message;Достижение «{0}» не найдено;Achievement "{0}" was not found;"{0}" başarısı bulunamadı
ui.error.achievements.key_required.message;Не указан идентификатор достижения;An achievement identifier is required;Başarı kimliği gerekli
ui.error.achievements.response_missing.message;Сервер не вернул данные достижения;The server did not return achievement data;Sunucu başarı verilerini döndürmedi
ui.error.achievements.response_invalid.message;Сервер вернул некорректные данные достижения;The server returned invalid achievement data;Sunucu geçersiz başarı verileri döndürdü
ui.error.achievements.update_failed.message;Не удалось обновить достижение;The achievement could not be updated;Başarı güncellenemedi
ui.error.achievements.room_response_missing.message;Игровая комната не вернула данные достижения;The game room did not return achievement data;Oyun odası başarı verilerini döndürmedi
ui.error.achievements.room_response_invalid.message;Игровая комната вернула некорректные данные достижения;The game room returned invalid achievement data;Oyun odası geçersiz başarı verileri döndürdü
ui.error.achievements.room_forward_failed.message;Не удалось передать обновление достижения в игровую комнату;The achievement update could not be sent to the game room;Başarı güncellemesi oyun odasına gönderilemedi
ui.error.achievements.updates_not_applied.message;Не удалось применить обновления достижений. Количество: {0};Achievement updates could not be applied. Count: {0};Başarı güncellemeleri uygulanamadı. Sayı: {0}
;;;
# Chat errors;;;
ui.error.chat.default_channel_not_set.message;Канал чата по умолчанию не настроен;The default chat channel is not configured;Varsayılan sohbet kanalı yapılandırılmadı
ui.error.chat.channel_membership_required.message;Для этого действия нужно состоять в канале;You must be a member of the channel to perform this action;Bu işlemi gerçekleştirmek için kanalın üyesi olmalısınız
ui.error.chat.channel_permission_required.message;Недостаточно прав в канале;You do not have enough permissions in the channel;Kanalda yeterli izniniz yok
ui.error.chat.user_not_online.message;Пользователь не в сети;The user is offline;Kullanıcı çevrimdışı
ui.error.chat.users_message_forbidden.message;Отправка сообщений этим пользователям запрещена;Sending messages to these users is not allowed;Bu kullanıcılara mesaj gönderilmesine izin verilmiyor
ui.error.chat.message_type_invalid.message;Тип сообщения не поддерживается;The message type is not supported;Mesaj türü desteklenmiyor
ui.error.chat.user_not_identified.message;Пользователь чата не определён;The chat user has not been identified;Sohbet kullanıcısı tanımlanmadı
ui.error.chat.channel_required.message;Не указан канал чата;A chat channel is required;Sohbet kanalı gerekli
ui.error.chat.channel_already_exists.message;Канал с таким названием уже существует;A channel with this name already exists;Bu ada sahip bir kanal zaten var
ui.error.chat.channel_type_forbidden.message;Этот тип канала нельзя создать;This channel type cannot be created;Bu kanal türü oluşturulamaz
ui.error.chat.channel_type_invalid.message;Указан неверный тип канала;The channel type is invalid;Kanal türü geçersiz
ui.error.chat.history_visibility_invalid.message;Настройка видимости истории чата недействительна;The chat history visibility setting is invalid;Sohbet geçmişi görünürlük ayarı geçersiz
ui.error.chat.history_limit_invalid.message;Ограничение истории чата недействительно;The chat history limit is invalid;Sohbet geçmişi sınırı geçersiz
ui.error.chat.default_permissions_invalid.message;Базовые права канала недействительны;The default channel permissions are invalid;Varsayılan kanal izinleri geçersiz
ui.error.chat.invited_permissions_invalid.message;Права приглашённого пользователя недействительны;The invited user's permissions are invalid;Davet edilen kullanıcının izinleri geçersiz
ui.error.chat.server_api_forbidden.message;Серверный API чата недоступен для этого подключения;The server chat API is not available to this connection;Sunucu sohbet API'si bu bağlantı için kullanılamıyor
ui.error.chat.channel_user_packet_required.message;Не переданы данные пользователя канала;Channel user data is required;Kanal kullanıcı verileri gerekli
ui.error.chat.channel_and_username_required.message;Укажите канал и имя пользователя;Specify a channel and username;Kanalı ve kullanıcı adını belirtin
ui.error.chat.server_message_packet_required.message;Не переданы данные серверного сообщения;Server message data is required;Sunucu mesajı verileri gerekli
ui.error.chat.sender_required.message;Не указан отправитель сообщения;A message sender is required;Mesaj gönderen gerekli
ui.error.chat.receiver_required.message;Не указан получатель сообщения;A message recipient is required;Mesaj alıcısı gerekli
ui.error.chat.recipients_required.message;Не указаны получатели сообщения;Message recipients are required;Mesaj alıcıları gerekli
ui.error.chat.recipients_offline.message;Все получатели сообщения не в сети;All message recipients are offline;Tüm mesaj alıcıları çevrimdışı
ui.error.chat.channel_not_found.message;Канал чата не найден;The chat channel was not found;Sohbet kanalı bulunamadı
ui.error.chat.target_username_required.message;Не указано имя целевого пользователя;A target username is required;Hedef kullanıcı adı gerekli
ui.error.chat.owner_target_protected.message;Нельзя изменить права владельца канала;The channel owner's permissions cannot be changed;Kanal sahibinin izinleri değiştirilemez
ui.error.chat.permission_grant_exceeds_own.message;Нельзя выдать больше прав, чем есть у вас;You cannot grant more permissions than you have;Sahip olduğunuzdan daha fazla izin veremezsiniz
ui.error.chat.owner_permission_required.message;Для этого действия нужны права владельца канала;Channel owner permission is required for this action;Bu işlem için kanal sahibi izni gerekli
ui.error.chat.cannot_ban_self.message;Нельзя заблокировать самого себя;You cannot ban yourself;Kendinizi engelleyemezsiniz
ui.error.chat.username_picking_disabled.message;Самостоятельный выбор имени в чате отключён;Choosing a chat username is disabled;Sohbet kullanıcı adı seçimi devre dışı
ui.error.chat.username_required.message;Не указано имя пользователя чата;A chat username is required;Sohbet kullanıcı adı gerekli
ui.error.chat.username_whitespace_invalid.message;Имя пользователя чата не может содержать пробелы;The chat username cannot contain spaces;Sohbet kullanıcı adı boşluk içeremez
ui.error.chat.user_already_identified.message;Пользователь чата уже определён;The chat user has already been identified;Sohbet kullanıcısı zaten tanımlandı
ui.error.chat.username_already_exists.message;Это имя пользователя чата уже занято;This chat username is already taken;Bu sohbet kullanıcı adı zaten alınmış
ui.error.chat.channel_ban_failed.message;Не удалось заблокировать пользователя в канале;The user could not be banned from the channel;Kullanıcı kanaldan engellenemedi
ui.error.chat.channel_create_failed.message;Не удалось создать канал чата;The chat channel could not be created;Sohbet kanalı oluşturulamadı
ui.error.chat.channel_ensure_failed.message;Не удалось получить или создать канал чата;The chat channel could not be found or created;Sohbet kanalı bulunamadı veya oluşturulamadı
ui.error.chat.channel_invite_failed.message;Не удалось пригласить пользователя в канал;The user could not be invited to the channel;Kullanıcı kanala davet edilemedi
ui.error.chat.channel_join_failed.message;Не удалось войти в канал чата;Could not join the chat channel;Sohbet kanalına katılınamadı
ui.error.chat.channel_user_add_failed.message;Не удалось добавить пользователя в канал;The user could not be added to the channel;Kullanıcı kanala eklenemedi
ui.error.chat.channel_user_remove_failed.message;Не удалось удалить пользователя из канала;The user could not be removed from the channel;Kullanıcı kanaldan çıkarılamadı
ui.error.chat.user_add_failed.message;Не удалось добавить пользователя в чат;The user could not be added to chat;Kullanıcı sohbete eklenemedi
;;;
# Group errors;;;
ui.error.groups.bad_packet.message;Данные запроса группы имеют неверный формат;The group request data has an invalid format;Grup isteği verilerinin biçimi geçersiz
ui.error.groups.name_length_invalid.message;Название группы имеет недопустимую длину;The group name has an invalid length;Grup adının uzunluğu geçersiz
ui.error.groups.tag_invalid.message;Тег группы имеет неверный формат;The group tag has an invalid format;Grup etiketinin biçimi geçersiz
ui.error.groups.description_length_invalid.message;Описание группы имеет недопустимую длину;The group description has an invalid length;Grup açıklamasının uzunluğu geçersiz
ui.error.groups.join_policy_invalid.message;Правила вступления в группу недействительны;The group join policy is invalid;Gruba katılma ilkesi geçersiz
ui.error.groups.already_joined.message;Вы уже состоите в группе;You are already a member of a group;Zaten bir grubun üyesisiniz
ui.error.groups.name_already_exists.message;Группа с таким названием уже существует;A group with this name already exists;Bu ada sahip bir grup zaten var
ui.error.groups.tag_already_exists.message;Группа с таким тегом уже существует;A group with this tag already exists;Bu etikete sahip bir grup zaten var
ui.error.groups.target_username_required.message;Не указано имя пользователя;A username is required;Kullanıcı adı gerekli
ui.error.groups.membership_required.message;Для этого действия нужно состоять в группе;You must be a group member to perform this action;Bu işlemi gerçekleştirmek için grup üyesi olmalısınız
ui.error.groups.permission_required.message;Недостаточно прав в группе;You do not have enough permissions in the group;Grupta yeterli izniniz yok
ui.error.groups.not_found.message;Группа не найдена;The group was not found;Grup bulunamadı
ui.error.groups.target_account_not_found.message;Учётная запись пользователя не найдена;The user's account was not found;Kullanıcının hesabı bulunamadı
ui.error.groups.cannot_invite_self.message;Нельзя пригласить самого себя;You cannot invite yourself;Kendinizi davet edemezsiniz
ui.error.groups.target_already_joined.message;Пользователь уже состоит в группе;The user is already a member of a group;Kullanıcı zaten bir grubun üyesi
ui.error.groups.invite_already_exists.message;Приглашение для этого пользователя уже существует;An invitation for this user already exists;Bu kullanıcı için zaten bir davet var
ui.error.groups.invite_id_required.message;Не указан идентификатор приглашения;An invitation identifier is required;Davet kimliği gerekli
ui.error.groups.invite_not_found.message;Приглашение в группу не найдено;The group invitation was not found;Grup daveti bulunamadı
ui.error.groups.invite_recipient_mismatch.message;Это приглашение предназначено другому пользователю;This invitation belongs to another user;Bu davet başka bir kullanıcıya ait
ui.error.groups.invite_expired.message;Срок действия приглашения истёк;The invitation has expired;Davetin süresi doldu
ui.error.groups.full.message;В группе нет свободных мест;The group is full;Grup dolu
ui.error.groups.owner_must_transfer_or_disband.message;Владелец должен передать группу или распустить её;The owner must transfer ownership or disband the group;Sahip, grup sahipliğini devretmeli veya grubu dağıtmalıdır
ui.error.groups.player_account_id_required.message;Не указан идентификатор учётной записи игрока;A player account identifier is required;Oyuncu hesabı kimliği gerekli
ui.error.groups.database_unavailable.message;База данных групп временно недоступна;The group database is temporarily unavailable;Grup veritabanı geçici olarak kullanılamıyor
ui.error.groups.room_peer_forbidden.message;Игровая комната не может выполнить эту операцию с группой;A game room cannot perform this group operation;Oyun odası bu grup işlemini gerçekleştiremez
;;;
# Notification errors;;;
ui.error.notifications.send_forbidden.message;Недостаточно прав для отправки уведомлений;You do not have permission to send notifications;Bildirim göndermek için izniniz yok
ui.error.notifications.message_required.message;Текст уведомления не указан;A notification message is required;Bildirim mesajı gerekli
;;;
# Room errors;;;
ui.error.rooms.registration_disconnected.message;Регистрация комнаты прервана из-за отключения;Room registration was interrupted by a disconnection;Oda kaydı bağlantı kesildiği için yarıda kaldı
ui.error.rooms.registration_unavailable.message;Регистрация комнаты временно недоступна;Room registration is temporarily unavailable;Oda kaydı geçici olarak kullanılamıyor
ui.error.rooms.not_found.message;Игровая комната не найдена;The game room was not found;Oyun odası bulunamadı
ui.error.rooms.owner_required.message;Операцию может выполнить только владелец комнаты;Only the room owner can perform this operation;Bu işlemi yalnızca oda sahibi gerçekleştirebilir
ui.error.rooms.registrar_required.message;Операцию может выполнить только зарегистрировавший комнату сервер;Only the server that registered the room can perform this operation;Bu işlemi yalnızca odayı kaydeden sunucu gerçekleştirebilir
ui.error.rooms.access_token_invalid.message;Токен доступа к комнате недействителен;The room access token is invalid;Oda erişim belirteci geçersiz
ui.error.rooms.password_invalid.message;Неверный пароль комнаты;The room password is incorrect;Oda şifresi yanlış
ui.error.rooms.access_denied.message;Доступ в комнату запрещён;Access to the room is denied;Odaya erişim reddedildi
ui.error.rooms.controller_not_found.message;Сервер управления комнатой недоступен;The room controller server is unavailable;Oda denetleyici sunucusu kullanılamıyor
ui.error.rooms.access_provider_timeout.message;Сервер комнаты не ответил вовремя;The room server did not respond in time;Oda sunucusu zamanında yanıt vermedi
ui.error.rooms.access_request_already_active.message;Запрос доступа в комнату уже выполняется;A room access request is already in progress;Oda erişim isteği zaten devam ediyor
ui.error.rooms.access_request_inactive.message;Запрос доступа в комнату уже завершён;The room access request is no longer active;Oda erişim isteği artık etkin değil
ui.error.rooms.access_token_in_use.message;Токен доступа к комнате уже используется;The room access token is already in use;Oda erişim belirteci zaten kullanılıyor
ui.error.rooms.access_unavailable.message;Вход в комнату временно недоступен;Joining the room is temporarily unavailable;Odaya katılma geçici olarak kullanılamıyor
ui.error.rooms.already_joined.message;Вы уже находитесь в игровой комнате;You are already in a game room;Zaten bir oyun odasındasınız
ui.error.rooms.destroyed.message;Игровая комната больше недоступна;The game room is no longer available;Oyun odası artık kullanılamıyor
ui.error.rooms.full.message;В игровой комнате нет свободных мест;The game room is full;Oyun odası dolu
;;;
# Lobby errors;;;
